,miRNA,ceRNA,species,database,type
91,AL031653,PGPEP1,Homo sapiens,RNAInter,miRNA-mRNA
92,AL035422,MAGI2-AS3,Homo sapiens,RNAInter,miRNA-lncRNA
93,AL035457,RAB3GAP1,Homo sapiens,RNAInter,miRNA-mRNA
94,AL096803,TVP23C,Homo sapiens,RNAInter,miRNA-mRNA
95,AL109658,DUSP18,Homo sapiens,RNAInter,miRNA-mRNA
96,AL109750,ART4,Homo sapiens,RNAInter,miRNA-mRNA
97,AL118509,F7,Homo sapiens,RNAInter,miRNA-mRNA
98,AL121652,COL6A2,Homo sapiens,RNAInter,miRNA-mRNA
99,AL121652,RP11-725D20,Homo sapiens,RNAInter,miRNA-lncRNA
100,AL121748,ZBTB8B,Homo sapiens,RNAInter,miRNA-mRNA
101,AL121932,AMER1,Homo sapiens,RNAInter,miRNA-mRNA
102,AL121932,AMER2,Homo sapiens,RNAInter,miRNA-mRNA
103,AL121932,ANKHD1,Homo sapiens,RNAInter,miRNA-mRNA
104,AL121932,CEP170B,Homo sapiens,RNAInter,miRNA-mRNA
105,AL121932,CREBBP,Homo sapiens,RNAInter,miRNA-mRNA
106,AL121932,DERA,Homo sapiens,RNAInter,miRNA-mRNA
107,AL121932,FMN2,Homo sapiens,RNAInter,miRNA-mRNA
108,AL121932,FREM2,Homo sapiens,RNAInter,miRNA-mRNA
109,AL121932,GPM6B,Homo sapiens,RNAInter,miRNA-mRNA
110,AL121932,IL12B,Homo sapiens,RNAInter,miRNA-mRNA
111,AL121932,LINC01343,Homo sapiens,RNAInter,miRNA-lncRNA
112,AL121932,LSM5,Homo sapiens,RNAInter,miRNA-mRNA
113,AL121932,MBD2,Homo sapiens,RNAInter,miRNA-mRNA
114,AL121932,MCM3,Homo sapiens,RNAInter,miRNA-mRNA
115,AL121932,MKI67,Homo sapiens,RNAInter,miRNA-mRNA
116,AL121932,ND5,Homo sapiens,RNAInter,miRNA-mRNA
117,AL121932,NR2F2-AS1,Homo sapiens,RNAInter,miRNA-lncRNA
118,AL121932,NUCKS1,Homo sapiens,RNAInter,miRNA-mRNA
119,AL121932,NUMB,Homo sapiens,RNAInter,miRNA-mRNA
120,AL121932,PDE4C,Homo sapiens,RNAInter,miRNA-mRNA
121,AL121932,PLXNA4,Homo sapiens,RNAInter,miRNA-mRNA
122,AL121932,RAPGEF2,Homo sapiens,RNAInter,miRNA-mRNA
123,AL121932,THSD4-AS1,Homo sapiens,RNAInter,miRNA-lncRNA
124,AL121932,UGT1A1,Homo sapiens,RNAInter,miRNA-mRNA
125,AL121932,ZBTB37,Homo sapiens,RNAInter,miRNA-mRNA
126,AL133167,SLC35F6,Homo sapiens,RNAInter,miRNA-mRNA
127,AL133230,CCDC157,Homo sapiens,RNAInter,miRNA-mRNA
128,AL136123,GCLC,Homo sapiens,RNAInter,miRNA-mRNA
129,AL136123,SHPRH,Homo sapiens,RNAInter,miRNA-mRNA
130,AL138721,AC006116,Homo sapiens,RNAInter,miRNA-lncRNA
131,AL138721,RP2,Homo sapiens,RNAInter,miRNA-mRNA
132,AL138807,MAPK13,Homo sapiens,RNAInter,miRNA-mRNA
133,AL139099,MYOM2,Homo sapiens,RNAInter,miRNA-mRNA
134,AL139099,SLC15A2,Homo sapiens,RNAInter,miRNA-mRNA
135,AL139319,STAT2,Homo sapiens,RNAInter,miRNA-mRNA
136,AL139328,CDK10,Homo sapiens,RNAInter,miRNA-mRNA
137,AL158077,CTB-152G17,Homo sapiens,RNAInter,miRNA-lncRNA
138,AL159977,CTC-203F4,Homo sapiens,RNAInter,miRNA-lncRNA
139,AL159997,EDRF1,Homo sapiens,RNAInter,miRNA-mRNA
140,AL161626,BRAP,Homo sapiens,RNAInter,miRNA-mRNA
141,AL161626,LOXL2,Homo sapiens,RNAInter,miRNA-mRNA
142,AL161626,OR8A1,Homo sapiens,RNAInter,miRNA-mRNA
143,AL161626,TRAK2,Homo sapiens,RNAInter,miRNA-mRNA
144,AL161723,LINC02656,Homo sapiens,RNAInter,miRNA-lncRNA
145,AL353733,NOX4,Homo sapiens,RNAInter,miRNA-mRNA
146,AL353803,PATJ,Homo sapiens,RNAInter,miRNA-mRNA
147,AL353803,RAB3B,Homo sapiens,RNAInter,miRNA-mRNA
148,AL355490,LINC00028,Homo sapiens,RNAInter,miRNA-lncRNA
149,AL355531,MEPE,Homo sapiens,RNAInter,miRNA-mRNA
150,AL355531,RP5-1044H5,Homo sapiens,RNAInter,miRNA-lncRNA
151,AL356865,CCDC25,Homo sapiens,RNAInter,miRNA-mRNA
152,AL356865,RP11-16E18,Homo sapiens,RNAInter,miRNA-lncRNA
153,AL356865,TMEM87A,Homo sapiens,RNAInter,miRNA-mRNA
154,AL358133,HSD17B1,Homo sapiens,RNAInter,miRNA-mRNA
155,AL358815,AL161772.1,Homo sapiens,RNAInter,miRNA-lncRNA
156,AL359262,STXBP4,Homo sapiens,RNAInter,miRNA-mRNA
157,AL390036,NEDD4,Homo sapiens,RNAInter,miRNA-mRNA
158,AL390036,OR4D1,Homo sapiens,RNAInter,miRNA-mRNA
159,AL390718,RPS27L,Homo sapiens,RNAInter,miRNA-mRNA
160,AL391123,AL133243.3,Homo sapiens,RNAInter,miRNA-lncRNA
161,AL391994,USP12-AS2,Homo sapiens,RNAInter,miRNA-lncRNA
162,AL392111,YPEL4,Homo sapiens,RNAInter,miRNA-mRNA
163,AL445204,LMX1A,Homo sapiens,RNAInter,miRNA-mRNA
164,AL513327,PHC2,Homo sapiens,RNAInter,miRNA-mRNA
165,AL589863,TRIM2,Homo sapiens,RNAInter,miRNA-mRNA
166,AL591428,DBF4,Homo sapiens,RNAInter,miRNA-mRNA
167,AL592205,PALB2,Homo sapiens,RNAInter,miRNA-mRNA
168,AL592466,FAM227A,Homo sapiens,RNAInter,miRNA-mRNA
169,AL592546,CYP26B1,Homo sapiens,RNAInter,miRNA-mRNA
170,AL592549,SNHG4,Homo sapiens,RNAInter,miRNA-lncRNA
171,AL603910,ZNF544,Homo sapiens,RNAInter,miRNA-mRNA
172,AL607076,RAPGEFL1,Homo sapiens,RNAInter,miRNA-mRNA
173,AL732374,LRRK1,Homo sapiens,RNAInter,miRNA-mRNA
174,AP000237,TOP2A,Homo sapiens,RNAInter,miRNA-mRNA
175,AP001178,LGALS3,Homo sapiens,RNAInter,miRNA-mRNA
176,AP001525,TNPO2,Homo sapiens,RNAInter,miRNA-mRNA
177,AP002022,TNFSF8,Homo sapiens,RNAInter,miRNA-mRNA
178,BX088563,FAM168A,Homo sapiens,RNAInter,miRNA-mRNA
179,BX323860,TIGD1,Homo sapiens,RNAInter,miRNA-mRNA
180,CR383657,DENND1B,Homo sapiens,RNAInter,miRNA-mRNA
181,FP236240,CD3EAP,Homo sapiens,RNAInter,miRNA-mRNA
182,FP236240,RP11-471B22,Homo sapiens,RNAInter,miRNA-lncRNA
183,FP236383,ABHD6,Homo sapiens,RNAInter,miRNA-mRNA
184,FP236383,ADA2,Homo sapiens,RNAInter,miRNA-mRNA
185,FP236383,AKIRIN2,Homo sapiens,RNAInter,miRNA-mRNA
186,FP236383,ATXN2,Homo sapiens,RNAInter,miRNA-mRNA
187,FP236383,BEND4,Homo sapiens,RNAInter,miRNA-mRNA
188,FP236383,BICDL2,Homo sapiens,RNAInter,miRNA-mRNA
189,FP236383,BRAP,Homo sapiens,RNAInter,miRNA-mRNA
190,FP236383,C5orf38,Homo sapiens,RNAInter,miRNA-mRNA
191,FP236383,CDC42EP5,Homo sapiens,RNAInter,miRNA-mRNA
192,FP236383,CECR2,Homo sapiens,RNAInter,miRNA-mRNA
193,FP236383,CRMP1,Homo sapiens,RNAInter,miRNA-mRNA
194,FP236383,CYP2W1,Homo sapiens,RNAInter,miRNA-mRNA
195,FP236383,E2F1,Homo sapiens,RNAInter,miRNA-mRNA
196,FP236383,FAM204A,Homo sapiens,RNAInter,miRNA-mRNA
197,FP236383,FER,Homo sapiens,RNAInter,miRNA-mRNA
198,FP236383,FIBP,Homo sapiens,RNAInter,miRNA-mRNA
199,FP236383,FIP1L1,Homo sapiens,RNAInter,miRNA-mRNA
200,FP236383,FOXQ1,Homo sapiens,RNAInter,miRNA-mRNA
201,FP236383,FREM3,Homo sapiens,RNAInter,miRNA-mRNA
202,FP236383,FUT1,Homo sapiens,RNAInter,miRNA-mRNA
203,FP236383,GDI1,Homo sapiens,RNAInter,miRNA-mRNA
204,FP236383,GGH,Homo sapiens,RNAInter,miRNA-mRNA
205,FP236383,GLRA4,Homo sapiens,RNAInter,miRNA-mRNA
206,FP236383,GRIN2D,Homo sapiens,RNAInter,miRNA-mRNA
207,FP236383,HNRNPUL1,Homo sapiens,RNAInter,miRNA-mRNA
208,FP236383,IRF7,Homo sapiens,RNAInter,miRNA-mRNA
209,FP236383,KIF1C,Homo sapiens,RNAInter,miRNA-mRNA
210,FP236383,LOC100128398,Homo sapiens,RNAInter,miRNA-lncRNA
211,FP236383,MARVELD1,Homo sapiens,RNAInter,miRNA-mRNA
212,FP236383,MPV17L,Homo sapiens,RNAInter,miRNA-mRNA
213,FP236383,MRC2,Homo sapiens,RNAInter,miRNA-mRNA
214,FP236383,MTMR12,Homo sapiens,RNAInter,miRNA-mRNA
215,FP236383,MTUS2,Homo sapiens,RNAInter,miRNA-mRNA
216,FP236383,MVD,Homo sapiens,RNAInter,miRNA-mRNA
217,FP236383,MYO16,Homo sapiens,RNAInter,miRNA-mRNA
218,FP236383,N4BP1,Homo sapiens,RNAInter,miRNA-mRNA
219,FP236383,NOS1,Homo sapiens,RNAInter,miRNA-mRNA
220,FP236383,NPR1,Homo sapiens,RNAInter,miRNA-mRNA
221,FP236383,NWD2,Homo sapiens,RNAInter,miRNA-mRNA
222,FP236383,OGFOD2,Homo sapiens,RNAInter,miRNA-mRNA
223,FP236383,OR1M1,Homo sapiens,RNAInter,miRNA-mRNA
224,FP236383,OR8A1,Homo sapiens,RNAInter,miRNA-mRNA
225,FP236383,OSBPL3,Homo sapiens,RNAInter,miRNA-mRNA
226,FP236383,PDCD2,Homo sapiens,RNAInter,miRNA-mRNA
227,FP236383,PHRF1,Homo sapiens,RNAInter,miRNA-mRNA
228,FP236383,PNMA1,Homo sapiens,RNAInter,miRNA-mRNA
229,FP236383,PPARA,Homo sapiens,RNAInter,miRNA-mRNA
230,FP236383,PTEN,Homo sapiens,RNAInter,miRNA-mRNA
231,FP236383,RARA,Homo sapiens,RNAInter,miRNA-mRNA
232,FP236383,RCHY1,Homo sapiens,RNAInter,miRNA-mRNA
233,FP236383,RCOR1,Homo sapiens,RNAInter,miRNA-mRNA
234,FP236383,RP11-196G11,Homo sapiens,RNAInter,miRNA-lncRNA
235,FP236383,RP11-432J9,Homo sapiens,RNAInter,miRNA-lncRNA
236,FP236383,RP11-527D7,Homo sapiens,RNAInter,miRNA-lncRNA
237,FP236383,RP11-620J15,Homo sapiens,RNAInter,miRNA-lncRNA
238,FP236383,RP11-817O13,Homo sapiens,RNAInter,miRNA-lncRNA
239,FP236383,RPTOR,Homo sapiens,RNAInter,miRNA-mRNA
240,FP236383,RTN2,Homo sapiens,RNAInter,miRNA-mRNA
241,FP236383,RUNX2,Homo sapiens,RNAInter,miRNA-mRNA
242,FP236383,RUSC1,Homo sapiens,RNAInter,miRNA-mRNA
243,FP236383,SCN8A,Homo sapiens,RNAInter,miRNA-mRNA
244,FP236383,SEMA6C,Homo sapiens,RNAInter,miRNA-mRNA
245,FP236383,SFXN3,Homo sapiens,RNAInter,miRNA-mRNA
246,FP236383,SHC3,Homo sapiens,RNAInter,miRNA-mRNA
247,FP236383,SLC25A47,Homo sapiens,RNAInter,miRNA-mRNA
248,FP236383,SLC29A4,Homo sapiens,RNAInter,miRNA-mRNA
249,FP236383,SLC35E4,Homo sapiens,RNAInter,miRNA-mRNA
250,FP236383,SLC3A2,Homo sapiens,RNAInter,miRNA-mRNA
251,FP236383,SLC9A3-AS1,Homo sapiens,RNAInter,miRNA-lncRNA
252,FP236383,SLCO3A1,Homo sapiens,RNAInter,miRNA-mRNA
253,FP236383,SMAP1,Homo sapiens,RNAInter,miRNA-mRNA
254,FP236383,SNX8,Homo sapiens,RNAInter,miRNA-mRNA
255,FP236383,STAC3,Homo sapiens,RNAInter,miRNA-mRNA
256,FP236383,SYT17,Homo sapiens,RNAInter,miRNA-mRNA
257,FP236383,TCTE1,Homo sapiens,RNAInter,miRNA-mRNA
258,FP236383,TDRD12,Homo sapiens,RNAInter,miRNA-mRNA
259,FP236383,TEX101,Homo sapiens,RNAInter,miRNA-mRNA
260,FP236383,TJP1,Homo sapiens,RNAInter,miRNA-mRNA
261,FP236383,TJP3,Homo sapiens,RNAInter,miRNA-mRNA
262,FP236383,TMPRSS13,Homo sapiens,RNAInter,miRNA-mRNA
263,FP236383,TRAK2,Homo sapiens,RNAInter,miRNA-mRNA
264,FP236383,VIPAS39,Homo sapiens,RNAInter,miRNA-mRNA
265,FP236383,VSIG4,Homo sapiens,RNAInter,miRNA-mRNA
266,FP236383,ZNF512B,Homo sapiens,RNAInter,miRNA-mRNA
267,FP236383,ZNF536,Homo sapiens,RNAInter,miRNA-mRNA
268,FP236383,ZNF579,Homo sapiens,RNAInter,miRNA-mRNA
269,FP236383,ZNF90,Homo sapiens,RNAInter,miRNA-mRNA
270,FP671120,AGO4,Homo sapiens,RNAInter,miRNA-mRNA
271,FP671120,ARHGAP26,Homo sapiens,RNAInter,miRNA-mRNA
272,FP671120,ARNTL2,Homo sapiens,RNAInter,miRNA-mRNA
273,FP671120,BICDL2,Homo sapiens,RNAInter,miRNA-mRNA
274,FP671120,C1QTNF6,Homo sapiens,RNAInter,miRNA-mRNA
275,FP671120,CISD2,Homo sapiens,RNAInter,miRNA-mRNA
276,FP671120,COX3,Homo sapiens,RNAInter,miRNA-mRNA
277,FP671120,CYB561A3,Homo sapiens,RNAInter,miRNA-mRNA
278,FP671120,DACT1,Homo sapiens,RNAInter,miRNA-mRNA
279,FP671120,DGKZ,Homo sapiens,RNAInter,miRNA-mRNA
280,FP671120,DPY19L3,Homo sapiens,RNAInter,miRNA-mRNA
281,FP671120,ESPN,Homo sapiens,RNAInter,miRNA-mRNA
282,FP671120,FAM136A,Homo sapiens,RNAInter,miRNA-mRNA
283,FP671120,FREM3,Homo sapiens,RNAInter,miRNA-mRNA
284,FP671120,GLRA4,Homo sapiens,RNAInter,miRNA-mRNA
285,FP671120,ITGA6,Homo sapiens,RNAInter,miRNA-mRNA
286,FP671120,LARS,Homo sapiens,RNAInter,miRNA-mRNA
287,FP671120,LINC01016,Homo sapiens,RNAInter,miRNA-lncRNA
288,FP671120,LNX1,Homo sapiens,RNAInter,miRNA-mRNA
289,FP671120,MFSD6,Homo sapiens,RNAInter,miRNA-mRNA
290,FP671120,MTUS2,Homo sapiens,RNAInter,miRNA-mRNA
291,FP671120,NDRG1,Homo sapiens,RNAInter,miRNA-mRNA
292,FP671120,NLRP1,Homo sapiens,RNAInter,miRNA-mRNA
293,FP671120,NORAD,Homo sapiens,RNAInter,miRNA-lncRNA
294,FP671120,NUDT21,Homo sapiens,RNAInter,miRNA-mRNA
295,FP671120,PARG,Homo sapiens,RNAInter,miRNA-mRNA
296,FP671120,PCNX3,Homo sapiens,RNAInter,miRNA-mRNA
297,FP671120,PCSK1N,Homo sapiens,RNAInter,miRNA-mRNA
298,FP671120,PFKFB2,Homo sapiens,RNAInter,miRNA-mRNA
299,FP671120,PPARA,Homo sapiens,RNAInter,miRNA-mRNA
300,FP671120,PPFIBP2,Homo sapiens,RNAInter,miRNA-mRNA
301,FP671120,PQBP1,Homo sapiens,RNAInter,miRNA-mRNA
302,FP671120,RP11-24C3,Homo sapiens,RNAInter,miRNA-lncRNA
303,FP671120,RP11-527D7,Homo sapiens,RNAInter,miRNA-lncRNA
304,FP671120,RP3-428L16,Homo sapiens,RNAInter,miRNA-lncRNA
305,FP671120,RTN2,Homo sapiens,RNAInter,miRNA-mRNA
306,FP671120,SCN8A,Homo sapiens,RNAInter,miRNA-mRNA
307,FP671120,SHC3,Homo sapiens,RNAInter,miRNA-mRNA
308,FP671120,SHISAL2B,Homo sapiens,RNAInter,miRNA-mRNA
309,FP671120,SIGLEC1,Homo sapiens,RNAInter,miRNA-mRNA
310,FP671120,SLC22A8,Homo sapiens,RNAInter,miRNA-mRNA
311,FP671120,SLC35E4,Homo sapiens,RNAInter,miRNA-mRNA
312,FP671120,TAGLN2,Homo sapiens,RNAInter,miRNA-mRNA
313,FP671120,TEX101,Homo sapiens,RNAInter,miRNA-mRNA
314,FP671120,TP53I13,Homo sapiens,RNAInter,miRNA-mRNA
315,FP671120,TSPAN31,Homo sapiens,RNAInter,miRNA-mRNA
316,FP671120,TSPYL5,Homo sapiens,RNAInter,miRNA-mRNA
317,FP671120,USP20,Homo sapiens,RNAInter,miRNA-mRNA
318,FP671120,ZNF536,Homo sapiens,RNAInter,miRNA-mRNA
319,FP671120,ZNF90,Homo sapiens,RNAInter,miRNA-mRNA
320,MIR1181,CDC37,Homo sapiens,RNAInter,miRNA-mRNA
321,MIR1254-1,CES2,Homo sapiens,RNAInter,miRNA-mRNA
322,MIR1254-1,KIAA1671,Homo sapiens,RNAInter,miRNA-mRNA
323,MIR1254-1,NECAP1,Homo sapiens,RNAInter,miRNA-mRNA
324,MIR1254-1,PRR14L,Homo sapiens,RNAInter,miRNA-mRNA
325,MIR1254-1,RBBP6,Homo sapiens,RNAInter,miRNA-mRNA
326,MIR1254-1,TELO2,Homo sapiens,RNAInter,miRNA-mRNA
327,MIR1254-1,UBA1,Homo sapiens,RNAInter,miRNA-mRNA
328,MIR1254-1,UGGT1,Homo sapiens,RNAInter,miRNA-mRNA
329,MIR205,CAPZA2,Homo sapiens,RNAInter,miRNA-mRNA
330,MIR205,NUP93,Homo sapiens,RNAInter,miRNA-mRNA
331,MIR205,SEC22B,Homo sapiens,RNAInter,miRNA-mRNA
332,MIR3656,KRTAP5-AS1,Homo sapiens,RNAInter,miRNA-lncRNA
333,MIR3687-2,KIAA0355,Homo sapiens,RNAInter,miRNA-mRNA
334,MIR3687-2,PPARGC1B,Homo sapiens,RNAInter,miRNA-mRNA
335,MIR3687-2,PTEN,Homo sapiens,RNAInter,miRNA-mRNA
336,MIR3687-2,RAI1,Homo sapiens,RNAInter,miRNA-mRNA
337,MIR424,CDK6,Homo sapiens,RNAInter,miRNA-mRNA
338,MIR424,CYSLTR1,Homo sapiens,RNAInter,miRNA-mRNA
339,MIR6087,CYP2W1,Homo sapiens,RNAInter,miRNA-mRNA
340,MIR6087,IMPA1,Homo sapiens,RNAInter,miRNA-mRNA
341,MIR6087,MTUS2,Homo sapiens,RNAInter,miRNA-mRNA
342,MIR6087,RBM38,Homo sapiens,RNAInter,miRNA-mRNA
343,MIR6087,SHC3,Homo sapiens,RNAInter,miRNA-mRNA
344,MIR6087,SLC26A4-AS1,Homo sapiens,RNAInter,miRNA-lncRNA
345,MIR663A,KCNJ6,Homo sapiens,RNAInter,miRNA-mRNA
346,MIR6734,MIR497HG,Homo sapiens,RNAInter,miRNA-lncRNA
347,MIR6848,LINC01783,Homo sapiens,RNAInter,miRNA-lncRNA
348,MIR937,CUEDC1,Homo sapiens,RNAInter,miRNA-mRNA
349,MIR937,TMPPE,Homo sapiens,RNAInter,miRNA-mRNA
350,RN7SL2,C8orf34-AS1,Homo sapiens,RNAInter,miRNA-lncRNA
351,RN7SL2,CTC1,Homo sapiens,RNAInter,miRNA-mRNA
352,RN7SL2,PEAK1,Homo sapiens,RNAInter,miRNA-mRNA
353,RN7SL2,SLC5A10,Homo sapiens,RNAInter,miRNA-mRNA
354,RN7SL2,TMED9,Homo sapiens,RNAInter,miRNA-mRNA
355,RN7SL2,TRIM26,Homo sapiens,RNAInter,miRNA-mRNA
356,RN7SL2,XPO7,Homo sapiens,RNAInter,miRNA-mRNA
357,RN7SL2,ZNF536,Homo sapiens,RNAInter,miRNA-mRNA
358,TRI-TAT2-2,AP2A1,Homo sapiens,RNAInter,miRNA-mRNA
359,TRI-TAT2-2,ARPC5L,Homo sapiens,RNAInter,miRNA-mRNA
360,TRI-TAT2-2,CELSR2,Homo sapiens,RNAInter,miRNA-mRNA
361,TRI-TAT2-2,DFFA,Homo sapiens,RNAInter,miRNA-mRNA
362,TRI-TAT2-2,LAPTM4B,Homo sapiens,RNAInter,miRNA-mRNA
363,TRI-TAT2-2,RUBCN,Homo sapiens,RNAInter,miRNA-mRNA
364,TRI-TAT2-2,SEPTIN10,Homo sapiens,RNAInter,miRNA-mRNA
365,TRI-TAT2-3,ARPC5L,Homo sapiens,RNAInter,miRNA-mRNA
366,TRI-TAT2-3,CANT1,Homo sapiens,RNAInter,miRNA-mRNA
367,TRI-TAT2-3,LMCD1-AS1,Homo sapiens,RNAInter,miRNA-lncRNA
368,TRI-TAT2-3,RPL28,Homo sapiens,RNAInter,miRNA-mRNA
369,TRI-TAT2-3,SHISAL2B,Homo sapiens,RNAInter,miRNA-mRNA
